AddressID,AddressLine1,AddressLine2,City,StateProvince,CountryRegion,PostalCode,ModifiedDate
9,8713 Yosemite Ct.,NULL,Bothell,Washington,United States,98011,2006-07-01 00:00:00.000
11,1318 Lasalle Street,NULL,Bothell,Washington,United States,98011,2007-04-01 00:00:00.000
25,9178 Jumping St.,NULL,Dallas,Texas,United States,75201,2006-09-01 00:00:00.000
28,9228 Via Del Sol,NULL,Phoenix,Arizona,United States,85004,2005-09-01 00:00:00.000
32,26910 Indela Road,NULL,Montreal,Quebec,Canada,H1Y 2H5,2006-08-01 00:00:00.000
185,2681 Eagle Peak,NULL,Bellevue,Washington,United States,98004,2006-09-01 00:00:00.000
297,7943 Walnut Ave,NULL,Renton,Washington,United States,98055,2006-08-01 00:00:00.000
445,6388 Lake City Way,NULL,Burnaby,British Columbia,Canada,V5A 3A6,2006-09-01 00:00:00.000
446,52560 Free Street,NULL,Toronto,Ontario,Canada,M4B 1V7,2005-08-01 00:00:00.000
447,22580 Free Street,NULL,Toronto,Ontario,Canada,M4B 1V7,2006-08-01 00:00:00.000
448,2575 Bloor Street East,NULL,Toronto,Ontario,Canada,M4B 1V6,2007-08-01 00:00:00.000
449,Station E,NULL,Chalk Riber,Ontario,Canada,K0J 1J0,2005-08-01 00:00:00.000
450,575 Rue St Amable,NULL,Quebec,Quebec,Canada,G1R,2006-09-01 00:00:00.000
451,2512-4th Ave Sw,NULL,Calgary,Alberta,Canada,T2P 2G8,2006-12-01 00:00:00.000
452,55 Lakeshore Blvd East,NULL,Toronto,Ontario,Canada,M4B 1V6,2005-09-01 00:00:00.000
453,6333 Cote Vertu,NULL,Montreal,Quebec,Canada,H1Y 2H7,2007-09-01 00:00:00.000
454,3255 Front Street West,NULL,Toronto,Ontario,Canada,M4B 1V6,2007-08-01 00:00:00.000
455,2550 Signet Drive,NULL,Weston,Ontario,Canada,M9V 4W3,2006-08-01 00:00:00.000
456,6777 Kingsway,NULL,Burnaby,British Columbia,Canada,V5H 3Z7,2006-08-01 00:00:00.000
457,5250-505 Burning St,NULL,Vancouver,British Columbia,Canada,V7L 4J4,2006-07-01 00:00:00.000
458,600 Slater Street,NULL,Ottawa,Ontario,Canada,K4B 1S2,2005-07-01 00:00:00.000
459,25575 The Queensway,NULL,Etobicoke,Ontario,Canada,M9W 3P3,2005-08-01 00:00:00.000
460,2521 McPherson Street,NULL,Markham,Ontario,Canada,L3S 3K2,2007-08-01 00:00:00.000
461,2560 Bay Street,NULL,Toronto,Ontario,Canada,M4B 1V7,2006-08-01 00:00:00.000
462,630 University Avenue,NULL,Toronto,Ontario,Canada,M4B 1V7,2005-08-01 00:00:00.000
463,992 St Clair Ave East,NULL,Toronto,Ontario,Canada,M4B 1V7,2005-09-01 00:00:00.000
464,"99, Rue Saint-pierre",NULL,Pnot-Rouge,Quebec,Canada,J1E 2T7,2005-07-01 00:00:00.000
465,25245 Rue Sherbrooke Ouest,NULL,Montreal,Quebec,Canada,H1Y 2H5,2007-07-01 00:00:00.000
466,655-4th Ave S.W.,NULL,Calgary,Alberta,Canada,T2P 2G8,2005-08-01 00:00:00.000
467,25900-700-9th Ave S.W.,NULL,Calgary,Alberta,Canada,T2P 2G8,2005-11-01 00:00:00.000
468,Po Box 83270,NULL,Vancouver,British Columbia,Canada,V7L 4J4,2007-08-01 00:00:00.000
469,400-25155 West Pender St,NULL,Vancouver,British Columbia,Canada,V7L 4J4,2007-09-01 00:00:00.000
470,2511 Baker Road,NULL,Toronto,Ontario,Canada,M4B 1V7,2005-09-01 00:00:00.000
471,770 Notre Datme Quest Bureau 800,NULL,Montreal,Quebec,Canada,H1Y 2H7,2005-09-01 00:00:00.000
472,250551 Shellbridge Way,NULL,Richmond,British Columbia,Canada,V6B 3P7,2005-09-01 00:00:00.000
473,595 Burning Street,NULL,Vancouver,British Columbia,Canada,V7L 4J4,2005-09-01 00:00:00.000
474,252345 8810th Avenue,NULL,Surrey,British Columbia,Canada,V3T 4W3,2005-09-01 00:00:00.000
475,2512-410th Avenue S.W.,NULL,Calgary,Alberta,Canada,T2P 2G8,2007-09-01 00:00:00.000
476,258 King Street East,NULL,Toronto,Ontario,Canada,M4B 1V7,2005-08-01 00:00:00.000
477,6th Floor Ferguson Block,NULL,Toronto,Ontario,Canada,M4B 1V7,2005-08-01 00:00:00.000
478,2545 King Street West,NULL,Toronto,Ontario,Canada,M4B 1V7,2005-08-01 00:00:00.000
479,2550 Middlefield Road,NULL,Scarborough,Ontario,Canada,M1V 4M2,2005-08-01 00:00:00.000
480,25 First Canadian Place,NULL,Toronto,Ontario,Canada,M4B 1V5,2005-08-01 00:00:00.000
